"","Bill","Tip","Credit","Guests","Day","Server","PctTip"
"1",23.7,10,"n",2,"f","A",42.2
"2",36.11,7,"n",3,"f","B",19.4
"3",31.99,5.01,"y",2,"f","A",15.7
"4",17.39,3.61,"y",2,"f","B",20.8
"5",15.41,3,"n",2,"f","B",19.5
"6",18.62,2.5,"n",2,"f","A",13.4
"7",21.56,3.44,"n",2,"f","B",16
"8",19.58,2.42,"n",2,"f","A",12.4
"9",23.59,3,"n",2,"f","A",12.7
"10",18.67,2,"n",2,"f","B",10.7
"11",15.19,1.75,"n",1,"f","B",11.5
"12",10.17,2.1,"n",1,"f","A",20.6
"13",8.08,1,"n",1,"f","B",12.4
"14",8.83,1.25,"n",2,"f","B",14.2
"15",8.88,1.12,"n",2,"f","B",12.6
"16",17.49,3,"n",3,"f","B",17.2
"17",18.4,2.6,"n",2,"f","C",14.1
"18",29.05,5.91,"y",2,"th","C",20.3
"19",9.31,1.25,"n",1,"th","C",13.4
"20",41.94,7.06,"y",5,"th","C",16.8
"21",55.59,10,"n",5,"th","C",18
"22",25.09,5,"y",2,"th","C",19.9
"23",13.11,2,"n",1,"th","C",15.3
"24",49.59,10.41,"y",4,"th","C",21
"25",36.86,6.14,"y",2,"th","B",16.7
"26",22.68,3.55,"n",2,"th","A",15.7
"27",29.53,4.47,"y",3,"th","B",15.1
"28",18.62,3.11,"n",2,"th","A",16.7
"29",31.35,4.5,"n",2,"th","A",14.4
"30",24.34,4,"y",3,"th","C",16.4
"31",39.8,6.3,"y",2,"th","C",15.8
"32",12.54,2,"n",2,"th","B",15.9
"33",13.38,2,"n",2,"th","B",14.9
"34",16.53,2.47,"n",2,"th","A",14.9
"35",16.85,3,"n",2,"th","B",17.8
"36",15.73,5,"n",2,"th","B",31.8
"37",31.14,5,"n",3,"th","B",16.1
"38",18.14,2.75,"n",2,"th","A",15.2
"39",9.58,1.42,"n",1,"th","A",14.8
"40",35.9,5,"n",3,"th","B",13.9
"41",17.44,3.7,"n",2,"w","A",21.2
"42",19.69,2.31,"n",2,"w","B",11.7
"43",59.33,10,"y",6,"w","B",16.9
"44",9.36,1.44,"y",1,"w","B",15.4
"45",10.59,1.5,"n",1,"w","B",14.2
"46",31.94,8.06,"n",3,"w","A",25.2
"47",22.26,3.74,"y",2,"w","B",16.8
"48",20.33,4,"n",2,"w","B",19.7
"49",10.17,1.83,"n",1,"w","A",18
"50",9.2,1.8,"n",1,"w","A",19.6
"51",21.88,4,"n",3,"w","B",18.3
"52",20.87,3.13,"y",2,"w","B",15
"53",17.39,3.61,"n",2,"w","A",20.8
"54",7.97,1.03,"n",2,"w","C",12.9
"55",32.31,4.69,"n",2,"w","A",14.5
"56",7.7,1,"n",1,"w","C",13
"57",7.76,1,"n",1,"w","C",12.9
"58",23.43,4,"n",2,"w","C",17.1
"59",38.73,5.7,"n",2,"w","A",14.7
"60",70.51,10.49,"y",2,"w","A",14.9
"61",60.72,15,"y",1,"w","A",24.7
"62",30.98,5.02,"y",1,"w","A",16.2
"63",23.27,3.73,"n",2,"w","B",16
"64",25.95,4.05,"y",2,"th","B",15.6
"65",29.64,6,"n",2,"th","A",20.2
"66",8.29,1,"y",2,"th","A",12.1
"67",26.16,4.53,"n",1,"th","A",17.3
"68",34.94,6.96,"y",2,"th","A",19.9
"69",53.54,9,"y",2,"t","A",16.8
"70",22.47,4,"y",2,"th","A",17.8
"71",37.24,6.7,"y",2,"f","A",18
"72",23.65,3.15,"n",2,"f","C",13.3
"73",28.89,3.46,"n",2,"f","A",12
"74",21.24,3.62,"n",2,"f","A",17
"75",20.22,2,"n",2,"f","C",9.9
"76",7.54,1.26,"n",3,"f","A",16.7
"77",22.36,3,"n",2,"f","C",13.4
"78",27.98,5.42,"n",2,"f","C",19.4
"79",22.95,4.05,"y",2,"f","C",17.6
"80",17.71,2.3,"n",2,"th","A",13
"81",28.09,5.11,"n",4,"th","A",18.2
"82",29,4,"n",3,"w","A",13.8
"83",18.67,3,"n",3,"w","C",16.1
"84",37.34,5.96,"y",2,"w","C",16
"85",22.2,4,"y",1,"w","C",18
"86",36.27,7,"y",2,"w","A",19.3
"87",23,3.75,"n",1,"w","A",16.3
"88",42.96,7.04,"y",2,"w","C",16.4
"89",23.38,4,"n",2,"th","B",17.1
"90",21.03,3,"n",2,"w","B",14.3
"91",26.8,2.2,"n",2,"w","B",8.2
"92",28.36,5.2,"n",1,"th","B",18.3
"93",18.73,2.27,"n",2,"th","B",12.1
"94",50.24,9.76,"y",2,"w","C",19.4
"95",12.31,1.9,"n",2,"w","B",15.4
"96",28.84,5.16,"n",2,"w","B",17.9
"97",19.42,3,"n",2,"w","B",15.4
"98",18.62,2.79,"y",3,"w","A",15
"99",10.17,2,"n",1,"w","A",19.7
"100",18.62,3.35,"y",2,"t","A",18
"101",57.3,10,"n",7,"t","C",17.5
"102",25.63,5,"n",2,"w","B",19.5
"103",39.75,7.25,"y",2,"w","A",18.2
"104",1.66,0.25,"n",1,"w","A",15.1
"105",9.52,1,"n",1,"w","A",10.5
"106",11.18,2,"y",2,"t","A",17.9
"107",18.83,2.8,"n",2,"m","B",14.9
"108",17.82,2.75,"n",2,"m","B",15.4
"109",35.95,6.05,"y",3,"m","B",16.8
"110",23.97,4,"n",2,"m","B",16.7
"111",27.45,4,"y",3,"m","B",14.6
"112",27.66,4.16,"y",2,"t","C",15
"113",27.82,4.71,"n",3,"th","B",16.9
"114",19.53,8,"n",2,"t","A",41
"115",11.18,1.82,"y",2,"t","A",16.3
"116",11.93,2,"n",1,"t","A",16.8
"117",18.67,3.33,"y",2,"t","A",17.8
"118",28.36,5.44,"n",3,"w","A",19.2
"119",18.14,4,"n",3,"w","C",22.1
"120",20.22,4.37,"n",2,"w","A",21.6
"121",11.66,1.5,"n",1,"w","A",12.9
"122",17.82,3.18,"y",2,"w","C",17.8
"123",18.62,2.38,"y",2,"w","C",12.8
"124",3.26,0.74,"n",2,"w","C",22.7
"125",23.91,4,"n",2,"w","A",16.7
"126",15.25,2.75,"y",2,"w","A",18
"127",7.44,1.56,"n",1,"w","B",21
"128",11.72,2.28,"y",1,"w","A",19.5
"129",8.4,1.6,"y",1,"w","A",19
"130",17.44,2,"n",2,"w","A",11.5
"131",12.52,1.5,"n",1,"w","B",12
"132",14.34,2,"n",2,"w","B",13.9
"133",30.6,5,"y",2,"w","B",16.3
"134",18.08,2,"n",2,"w","A",11.1
"135",16.48,3,"n",2,"m","B",18.2
"136",24.5,3.5,"y",2,"t","A",14.3
"137",17.12,3.72,"n",2,"t","A",21.7
"138",6.69,1,"n",1,"m","B",14.9
"139",16.26,2.43,"n",2,"w","B",14.9
"140",13.86,1.14,"n",1,"t","C",8.2
"141",30.98,4.02,"y",4,"t","C",13
"142",18.4,2.75,"n",2,"m","B",14.9
"143",16.8,2.2,"y",2,"m","B",13.1
"144",3.75,0.25,"n",2,"m","B",6.7
"145",32.69,5,"n",2,"m","B",15.3
"146",35.68,5,"n",3,"m","B",14
"147",9.84,2.16,"y",1,"m","B",22
"148",14.23,2.15,"n",2,"w","B",15.1
"149",29.85,4.15,"y",2,"w","A",13.9
"150",20.76,3,"n",2,"m","B",14.5
"151",24.82,4.4,"n",2,"m","B",17.7
"152",15.62,2.81,"n",2,"th","B",18
"153",31.3,5.7,"y",3,"m","B",18.2
"154",12.57,2,"n",3,"m","B",15.9
"155",14.87,3.13,"n",2,"m","B",21
"156",51.68,10,"y",6,"m","B",19.3
"157",17.12,2.5,"n",2,"m","B",14.6
